QGPIORecord, QRC v6.1.0, 21-12-2023 @ 11:10:46, Windows 10 Version 2009, 10.0.22621, x86_64,,,,,,,
Time, x1, x2, x3, P11, P12, P13, P22, P23, P33, y1, y2, ValueIn11
30654,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30663,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30673,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30685,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30694,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30703,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30713,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30724,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30734,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30743,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30753,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30764,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30774,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30783,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30793,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30803,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30814,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30824,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30833,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30843,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30854,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30864,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30873,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30883,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30894,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30904,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30913,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30923,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30934,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30944,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30954,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30963,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30973,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30984,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
30994,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
31003,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
31013,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
31024,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
31034,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
31043,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
31053,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
31064,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
31074,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
31083,0.00463876,-0.00551965,-0.0102477,1.00E-05,0,0,0.00106663,0.00103278,0.0170081,0.00463876,-0.00614192,0
