QGPIORecord, QRC v6.1.0, 20-12-2023 @ 20:58:28, Windows 10 Version 2009, 10.0.22621, x86_64,,,,,,,
Time, ValueIn0, y, x, P, L , nu, S, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
104610,0,0.10003,0,0,0,0,0,0,0,0,0,0
104621,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104630,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104640,0,0.0997103,0,0,0,0,0,0,0,0,0,0
104650,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104660,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104670,0,0.0990784,0,0,0,0,0,0,0,0,0,0
104680,0,0.100675,0,0,0,0,0,0,0,0,0,0
104690,0,0.101002,0,0,0,0,0,0,0,0,0,0
104700,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104710,0,0.0997103,0,0,0,0,0,0,0,0,0,0
104720,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104730,0,0.100675,0,0,0,0,0,0,0,0,0,0
104740,0,0.100675,0,0,0,0,0,0,0,0,0,0
104750,0,0.100351,0,0,0,0,0,0,0,0,0,0
104760,0,0.0997103,0,0,0,0,0,0,0,0,0,0
104770,0,0.0997103,0,0,0,0,0,0,0,0,0,0
104780,0,0.0997103,0,0,0,0,0,0,0,0,0,0
104791,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104800,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104810,0,0.101002,0,0,0,0,0,0,0,0,0,0
104820,0,0.0997103,0,0,0,0,0,0,0,0,0,0
104830,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104840,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104850,0,0.0997103,0,0,0,0,0,0,0,0,0,0
104860,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104870,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104880,0,0.0997103,0,0,0,0,0,0,0,0,0,0
104890,0,0.100675,0,0,0,0,0,0,0,0,0,0
104900,0,0.100675,0,0,0,0,0,0,0,0,0,0
104910,0,0.10133,0,0,0,0,0,0,0,0,0,0
104921,0,0.100675,0,0,0,0,0,0,0,0,0,0
104930,0,0.0997103,0,0,0,0,0,0,0,0,0,0
104940,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104950,0,0.100675,0,0,0,0,0,0,0,0,0,0
104961,0,0.101002,0,0,0,0,0,0,0,0,0,0
104970,0,0.100675,0,0,0,0,0,0,0,0,0,0
104980,0,0.101002,0,0,0,0,0,0,0,0,0,0
104990,0,0.101002,0,0,0,0,0,0,0,0,0,0
105000,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105010,0,0.100675,0,0,0,0,0,0,0,0,0,0
105020,0,0.101002,0,0,0,0,0,0,0,0,0,0
105030,0,0.100675,0,0,0,0,0,0,0,0,0,0
105040,0,0.101002,0,0,0,0,0,0,0,0,0,0
105050,0,0.0990784,0,0,0,0,0,0,0,0,0,0
105060,0,0.0993932,0,0,0,0,0,0,0,0,0,0
105070,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105080,0,0.101002,0,0,0,0,0,0,0,0,0,0
105091,0,0.0993932,0,0,0,0,0,0,0,0,0,0
105100,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105110,0,0.101002,0,0,0,0,0,0,0,0,0,0
105120,0,0.101002,0,0,0,0,0,0,0,0,0,0
105131,0,0.100351,0,0,0,0,0,0,0,0,0,0
105140,0,0.100675,0,0,0,0,0,0,0,0,0,0
105150,0,0.101002,0,0,0,0,0,0,0,0,0,0
105160,0,0.100675,0,0,0,0,0,0,0,0,0,0
105170,0,0.101002,0,0,0,0,0,0,0,0,0,0
105180,0,0.101002,0,0,0,0,0,0,0,0,0,0
105190,0,0.0993932,0,0,0,0,0,0,0,0,0,0
105200,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105210,0,0.10003,0,0,0,0,0,0,0,0,0,0
105220,0,0.100675,0,0,0,0,0,0,0,0,0,0
105230,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105240,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105250,0,0.0993932,0,0,0,0,0,0,0,0,0,0
105261,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105270,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105280,0,0.100675,0,0,0,0,0,0,0,0,0,0
105290,0,0.10133,0,0,0,0,0,0,0,0,0,0
105300,0,0.0993932,0,0,0,0,0,0,0,0,0,0
105310,0,0.100675,0,0,0,0,0,0,0,0,0,0
105320,0,0.101002,0,0,0,0,0,0,0,0,0,0
105330,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105340,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105350,0,0.0997103,0,0,0,0,0,0,0,0,0,0
105360,0,0.100675,0,0,0,0,0,0,0,0,0,0
