QGPIORecord, QRC v6.1.0, 20-12-2023 @ 21:01:24, Windows 10 Version 2009, 10.0.22621, x86_64,,,,,,,
Time, ValueIn0, y, x, P, L , nu, S, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
17921,0,0.0990784,0,0,0,0,0,0,0,0,0,0
17930,0,0.0990784,0,0,0,0,0,0,0,0,0,0
17941,0,0.0993932,0,0,0,0,0,0,0,0,0,0
17950,0,0.0997103,0,0,0,0,0,0,0,0,0,0
17960,0,0.101002,0,0,0,0,0,0,0,0,0,0
17970,0,0.0993932,0,0,0,0,0,0,0,0,0,0
17980,0,0.0993932,0,0,0,0,0,0,0,0,0,0
17990,0,0.100675,0,0,0,0,0,0,0,0,0,0
18000,0,0.100675,0,0,0,0,0,0,0,0,0,0
18010,0,0.101002,0,0,0,0,0,0,0,0,0,0
18020,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18030,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18040,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18051,0,0.100675,0,0,0,0,0,0,0,0,0,0
18060,0,0.100675,0,0,0,0,0,0,0,0,0,0
18070,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18080,0,0.100675,0,0,0,0,0,0,0,0,0,0
18091,0,0.101002,0,0,0,0,0,0,0,0,0,0
18100,0,0.100675,0,0,0,0,0,0,0,0,0,0
18110,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18120,0,0.0997103,0,0,0,0,0,0,0,0,0,0
18130,0,0.100675,0,0,0,0,0,0,0,0,0,0
18140,0,0.100675,0,0,0,0,0,0,0,0,0,0
18150,0,0.100675,0,0,0,0,0,0,0,0,0,0
18160,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18170,0,0.0997103,0,0,0,0,0,0,0,0,0,0
18180,0,0.101002,0,0,0,0,0,0,0,0,0,0
18190,0,0.0997103,0,0,0,0,0,0,0,0,0,0
18200,0,0.0997103,0,0,0,0,0,0,0,0,0,0
18210,0,0.100675,0,0,0,0,0,0,0,0,0,0
18221,0,0.100675,0,0,0,0,0,0,0,0,0,0
18230,0,0.10003,0,0,0,0,0,0,0,0,0,0
18240,0,0.100675,0,0,0,0,0,0,0,0,0,0
18250,0,0.101002,0,0,0,0,0,0,0,0,0,0
18260,0,0.0997103,0,0,0,0,0,0,0,0,0,0
18270,0,0.100675,0,0,0,0,0,0,0,0,0,0
18280,0,0.101002,0,0,0,0,0,0,0,0,0,0
18290,0,0.0990784,0,0,0,0,0,0,0,0,0,0
18300,0,0.100675,0,0,0,0,0,0,0,0,0,0
18310,0,0.10003,0,0,0,0,0,0,0,0,0,0
18320,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18330,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18340,0,0.0997103,0,0,0,0,0,0,0,0,0,0
18350,0,0.100675,0,0,0,0,0,0,0,0,0,0
18360,0,0.100675,0,0,0,0,0,0,0,0,0,0
18370,0,0.101002,0,0,0,0,0,0,0,0,0,0
18380,0,0.100675,0,0,0,0,0,0,0,0,0,0
18391,0,0.10133,0,0,0,0,0,0,0,0,0,0
18400,0,0.0997103,0,0,0,0,0,0,0,0,0,0
18410,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18420,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18430,0,0.100675,0,0,0,0,0,0,0,0,0,0
18440,0,0.100675,0,0,0,0,0,0,0,0,0,0
18450,0,0.100351,0,0,0,0,0,0,0,0,0,0
18460,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18470,0,0.10003,0,0,0,0,0,0,0,0,0,0
18480,0,0.101002,0,0,0,0,0,0,0,0,0,0
18490,0,0.100675,0,0,0,0,0,0,0,0,0,0
18500,0,0.100675,0,0,0,0,0,0,0,0,0,0
18510,0,0.0990784,0,0,0,0,0,0,0,0,0,0
18521,0,0.100675,0,0,0,0,0,0,0,0,0,0
18530,0,0.100675,0,0,0,0,0,0,0,0,0,0
18540,0,0.0993932,0,0,0,0,0,0,0,0,0,0
18550,0,0.0997103,0,0,0,0,0,0,0,0,0,0
18561,0,0.0997103,0,0,0,0,0,0,0,0,0,0
18570,0,0.0993932,0,0,0,0,0,0,0,0,0,0
