QGPIORecord, QRC v6.1.0, 20-12-2023 @ 21:04:17, Windows 10 Version 2009, 10.0.22621, x86_64,,,,,,,
Time, ValueIn0, y, x, P, L , nu, S, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
26550,0,0.100675,0,0,0,0,0,0,0,0,0,0
26560,0,0.10133,0,0,0,0,0,0,0,0,0,0
26571,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26580,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26590,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26600,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26610,0,0.0990784,0,0,0,0,0,0,0,0,0,0
26620,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26630,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26640,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26650,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26660,0,0.100675,0,0,0,0,0,0,0,0,0,0
26670,0,0.101002,0,0,0,0,0,0,0,0,0,0
26680,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26690,0,0.100351,0,0,0,0,0,0,0,0,0,0
26700,0,0.100351,0,0,0,0,0,0,0,0,0,0
26711,0,0.0990784,0,0,0,0,0,0,0,0,0,0
26720,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26730,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26740,0,0.0990784,0,0,0,0,0,0,0,0,0,0
26750,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26760,0,0.100351,0,0,0,0,0,0,0,0,0,0
26770,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26780,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26790,0,0.0990784,0,0,0,0,0,0,0,0,0,0
26800,0,0.10003,0,0,0,0,0,0,0,0,0,0
26810,0,0.101002,0,0,0,0,0,0,0,0,0,0
26820,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26830,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26841,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26850,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26860,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26870,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26881,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26890,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26900,0,0.0993932,0,0,0,0,0,0,0,0,0,0
26910,0,0.0997103,0,0,0,0,0,0,0,0,0,0
26920,0,0.0990784,0,0,0,0,0,0,0,0,0,0
26930,0,0.100675,0,0,0,0,0,0,0,0,0,0
26940,0,0.101002,0,0,0,0,0,0,0,0,0,0
26950,0,0.101002,0,0,0,0,0,0,0,0,0,0
26960,0,0.101002,0,0,0,0,0,0,0,0,0,0
26970,0,0.101002,0,0,0,0,0,0,0,0,0,0
26980,0,0.101002,0,0,0,0,0,0,0,0,0,0
26990,0,0.0987659,0,0,0,0,0,0,0,0,0,0
27000,0,0.0990784,0,0,0,0,0,0,0,0,0,0
27011,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27020,0,0.0997103,0,0,0,0,0,0,0,0,0,0
27030,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27040,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27051,0,0.0997103,0,0,0,0,0,0,0,0,0,0
27060,0,0.0990784,0,0,0,0,0,0,0,0,0,0
27070,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27080,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27090,0,0.100675,0,0,0,0,0,0,0,0,0,0
27100,0,0.100675,0,0,0,0,0,0,0,0,0,0
27110,0,0.101002,0,0,0,0,0,0,0,0,0,0
27120,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27130,0,0.0997103,0,0,0,0,0,0,0,0,0,0
27140,0,0.100351,0,0,0,0,0,0,0,0,0,0
27150,0,0.100675,0,0,0,0,0,0,0,0,0,0
27160,0,0.10133,0,0,0,0,0,0,0,0,0,0
27170,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27181,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27190,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27200,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27210,0,0.0997103,0,0,0,0,0,0,0,0,0,0
27220,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27230,0,0.100351,0,0,0,0,0,0,0,0,0,0
27240,0,0.100675,0,0,0,0,0,0,0,0,0,0
27250,0,0.0997103,0,0,0,0,0,0,0,0,0,0
27260,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27270,0,0.0997103,0,0,0,0,0,0,0,0,0,0
27280,0,0.0997103,0,0,0,0,0,0,0,0,0,0
27290,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27300,0,0.0997103,0,0,0,0,0,0,0,0,0,0
27311,0,0.0990784,0,0,0,0,0,0,0,0,0,0
27320,0,0.0993932,0,0,0,0,0,0,0,0,0,0
27330,0,0.0997103,0,0,0,0,0,0,0,0,0,0
