QGPIORecord, QRC v6.1.0, 16-12-2023 @ 13:06:01, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
96391, -0.1, 0.10003, -0.170334, 0.169166, 3.64408e-05, 0, 0, 0, -0.100036, 4.94427e-06, -1.77771e-05, 0
96401, -0.1, 0.0997103, -0.174988, 0.16435, -0.000165261, 0, 0, 0, -0.0998347, 4.94427e-06, -0.000325769, 0
96412, -0.1, 0.10003, -0.172487, 0.166955, -4.4167e-05, 0, 0, 0, -0.0999558, 4.94427e-06, 0.000193261, 0
96420, -0.1, 0.0993932, -0.180727, 0.158443, -0.000391699, 0, 0, 0, -0.0996083, 4.94427e-06, -0.000563033, 0
96431, -0.1, 0.0997103, -0.180016, 0.159225, -0.000327162, 0, 0, 0, -0.0996728, 4.94427e-06, 9.80869e-05, 0
96441, -0.1, 0.10003, -0.175485, 0.163947, -0.000105388, 0, 0, 0, -0.0998946, 4.94427e-06, 0.000353545, 0
96451, -0.1, 0.10003, -0.173735, 0.16577, -2.15247e-05, 0, 0, 0, -0.0999785, 4.94427e-06, 0.000133991, 0
96460, -0.1, 0.0997103, -0.177663, 0.161711, -0.000187181, 0, 0, 0, -0.0998128, 4.94427e-06, -0.000268385, 0
96471, -0.1, 0.10003, -0.174887, 0.164603, -5.24521e-05, 0, 0, 0, -0.0999475, 4.94427e-06, 0.000214964, 0
96481, -0.1, 0.0997103, -0.178428, 0.160949, -0.000198878, 0, 0, 0, -0.0998011, 4.94427e-06, -0.000237763, 0
96491, -0.1, 0.0997103, -0.180133, 0.15921, -0.000254244, 0, 0, 0, -0.0997458, 4.94427e-06, -9.28044e-05, 0
96501, -0.1, 0.100351, -0.171856, 0.167797, 0.000120983, 0, 0, 0, -0.100121, 4.94427e-06, 0.000603013, 0
96510, -0.1, 0.0997103, -0.17757, 0.161876, -0.000133291, 0, 0, 0, -0.0998667, 4.94427e-06, -0.000409469, 0
96521, -0.1, 0.10003, -0.17547, 0.164063, -3.20747e-05, 0, 0, 0, -0.0999679, 4.94427e-06, 0.000161611, 0
96531, -0.1, 0.10003, -0.174638, 0.164927, 6.19888e-06, 0, 0, 0, -0.100006, 4.94427e-06, 6.14077e-05, 0
96541, -0.1, 0.0997103, -0.178914, 0.160506, -0.000176698, 0, 0, 0, -0.0998233, 4.94427e-06, -0.000295833, 0
96550, -0.1, 0.10003, -0.17627, 0.163261, -4.84884e-05, 0, 0, 0, -0.0999515, 4.94427e-06, 0.000204585, 0
96561, -0.1, 0.0997103, -0.17986, 0.159555, -0.000197373, 0, 0, 0, -0.0998026, 4.94427e-06, -0.000241689, 0
96571, -0.1, 0.0997103, -0.181584, 0.157796, -0.000253677, 0, 0, 0, -0.0997463, 4.94427e-06, -9.42945e-05, 0
96581, -0.1, 0.10003, -0.177975, 0.161557, -7.76052e-05, 0, 0, 0, -0.0999224, 4.94427e-06, 0.000280797, 0
96590, -0.1, 0.0997103, -0.181201, 0.158233, -0.000208385, 0, 0, 0, -0.0997916, 4.94427e-06, -0.000212863, 0
96601, -0.1, 0.10003, -0.178159, 0.161402, -6.04689e-05, 0, 0, 0, -0.0999395, 4.94427e-06, 0.000235952, 0
96611, -0.1, 0.10003, -0.176971, 0.162637, -4.5374e-06, 0, 0, 0, -0.0999955, 4.94427e-06, 8.95187e-05, 0
96621, -0.1, 0.0997103, -0.181113, 0.158356, -0.000180759, 0, 0, 0, -0.0998192, 4.94427e-06, -0.000285201, 0
96630, -0.1, 0.10003, -0.178417, 0.161164, -5.00232e-05, 0, 0, 0, -0.09995, 4.94427e-06, 0.000208601, 0
96641, -0.1, 0.0993932, -0.186583, 0.152729, -0.000393912, 0, 0, 0, -0.0996061, 4.94427e-06, -0.000557236, 0
