QGPIORecord, QRC v6.1.0, 16-12-2023 @ 13:27:36, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1058861, -0.1, 0.0997103, -0.0588606, -0.143325, -0.000417441, 0, 0, 0, -0.0997913, 4.94427e-06, -0.000211991, 0
1058871, -0.1, 0.0993932, -0.071177, -0.156006, -0.000906259, 0, 0, 0, -0.0995469, 4.94427e-06, -0.000402212, 0
1058882, -0.1, 0.10003, -0.0588779, -0.143184, -0.000302583, 0, 0, 0, -0.0998487, 4.94427e-06, 0.000473723, 0
1058891, -0.1, 0.0997103, -0.0634548, -0.147879, -0.000471354, 0, 0, 0, -0.0997643, 4.94427e-06, -0.000141427, 0
1058900, -0.1, 0.10003, -0.0566455, -0.140784, -0.000139788, 0, 0, 0, -0.0999301, 4.94427e-06, 0.000260614, 0
1058911, -0.1, 0.0997103, -0.0632771, -0.147622, -0.000410408, 0, 0, 0, -0.0997948, 4.94427e-06, -0.0002212, 0
1058921, -0.1, 0.0997103, -0.0664927, -0.150897, -0.000511706, 0, 0, 0, -0.0997441, 4.94427e-06, -8.85949e-05, 0
1058931, -0.1, 0.10003, -0.0591742, -0.14327, -0.000154898, 0, 0, 0, -0.0999226, 4.94427e-06, 0.000280388, 0
1058940, -0.1, 0.101002, -0.0281885, -0.111222, 0.00118011, 0, 0, 0, -0.10059, 4.94427e-06, 0.00107754, 0
1058951, -0.1, 0.101002, -0.0140547, -0.0967527, 0.00167984, 0, 0, 0, -0.10084, 4.94427e-06, 0.000423387, 0
1058961, -0.1, 0.10003, -0.0343999, -0.117985, 0.000665456, 0, 0, 0, -0.100333, 4.94427e-06, -0.000793464, 0
1058971, -0.1, 0.101002, -0.0137695, -0.0967388, 0.0014872, 0, 0, 0, -0.100744, 4.94427e-06, 0.000675566, 0
1058980, -0.1, 0.10133, 0.00601536, -0.0764652, 0.00220111, 0, 0, 0, -0.101101, 4.94427e-06, 0.000601634, 0
1058991, -0.1, 0.0997103, -0.0301652, -0.114129, 0.000465855, 0, 0, 0, -0.100233, 4.94427e-06, -0.00136824, 0
1059001, -0.1, 0.0997103, -0.0444419, -0.128943, -0.000183702, 0, 0, 0, -0.0999082, 4.94427e-06, -0.000517964, 0
1059011, -0.1, 0.10003, -0.0412636, -0.125636, -3.2112e-05, 0, 0, 0, -0.0999839, 4.94427e-06, 0.000119664, 0
1059020, -0.1, 0.0997103, -0.0492544, -0.133892, -0.0003701, 0, 0, 0, -0.099815, 4.94427e-06, -0.000273958, 0
1059031, -0.1, 0.0997103, -0.0529786, -0.137697, -0.000496611, 0, 0, 0, -0.0997517, 4.94427e-06, -0.000108346, 0
1059041, -0.1, 0.10003, -0.0458503, -0.130269, -0.000149235, 0, 0, 0, -0.0999254, 4.94427e-06, 0.000272989, 0
1059051, -0.1, 0.0997103, -0.0523626, -0.136983, -0.000413939, 0, 0, 0, -0.099793, 4.94427e-06, -0.000216566, 0
1059061, -0.1, 0.10003, -0.0462778, -0.130644, -0.000118285, 0, 0, 0, -0.0999409, 4.94427e-06, 0.00023248, 0
1059070, -0.1, 0.10003, -0.0439254, -0.128198, -7.62939e-06, 0, 0, 0, -0.0999962, 4.94427e-06, 8.76114e-05, 0
1059081, -0.1, 0.0997103, -0.0522252, -0.136777, -0.000360936, 0, 0, 0, -0.0998195, 4.94427e-06, -0.000285953, 0
