QGPIORecord, QRC v6.1.0, 22-12-2023 @ 14:50:23, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7x, ValueIn8, ValueIn9, ValueIn10, ValueIn11
8624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8733, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8773, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8783, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8834, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8863, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8894, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8903, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8934, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
