QGPIORecord, QRC v6.1.0, 22-12-2023 @ 14:27:54, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7x, ValueIn8, ValueIn9, ValueIn10, ValueIn11
43184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43603, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43773, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43784, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43813, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43834, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43864, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43874, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43943, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43964, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43983, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44034, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44063, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44094, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44283, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44564, 0.6868, 0, 0.006868, -0.0443097, 0, 0, 0, 0, 12, 12, 0, 0
44574, 0.677322, 0, 0.00684056, -0.0409747, 0.0428608, 0, 0, 0, 12, 12, 0, 0
44584, 0.66315, 0, 0.0087218, -0.0375002, 0.0824957, 0.00204326, 0.00204326, 0, 8.4009, 7.95747, 0, 0
44595, 0.641695, -0.00153548, 0.0130643, -0.0321425, 0.120104, 0.0063888, 0.0066268, -0.00153548, 2.71686, 1.98219, 0, 0
44604, 0.61695, -0.00614192, 0.0181089, -0.0235595, 0.156534, 0.0109762, 0.0119282, -0.00614192, 1.41582, 0.0636299, 0, 0
44614, 0.597175, -0.0107484, 0.0217336, -0.0155713, 0.188666, 0.0140727, 0.0157386, -0.0107484, 4.2365, 3.69576, 0, 0
44624, 0.582452, -0.0168903, 0.0234811, -0.00652001, 0.218409, 0.0149984, 0.0176162, -0.0168903, 8.24391, 8.61221, 0, 0
44634, 0.568972, -0.0245677, 0.0246758, 0.00386157, 0.24607, 0.015134, 0.0189416, -0.0245677, 10.2394, 10.7016, 0, 0
44644, 0.552933, -0.0322451, 0.0270425, 0.0141921, 0.270363, 0.0164847, 0.0214819, -0.0322451, 8.17271, 7.77491, 0, 0
44654, 0.532175, -0.041458, 0.0309593, 0.0262428, 0.29267, 0.0191995, 0.0256236, -0.041458, 4.64598, 3.57401, 0, 0
44664, 0.509161, -0.0522063, 0.0355795, 0.039835, 0.312663, 0.022395, 0.0304833, -0.0522063, 2.56677, 2.13545, 0, 0
44675, 0.488607, -0.0644902, 0.039247, 0.0546544, 0.330186, 0.0243598, 0.0343489, -0.0644902, 3.94387, 4.39579, 0, 0
44684, 0.472627, -0.076774, 0.0415839, 0.0689438, 0.34405, 0.0249457, 0.0368339, -0.076774, 6.56718, 7.99435, 0, 0
44694, 0.458419, -0.0890579, 0.0435426, 0.0829155, 0.35477, 0.0251467, 0.0389324, -0.0890579, 8.1674, 8.4424, 0, 0
44704, 0.442133, -0.102877, 0.0460784, 0.0984678, 0.363987, 0.0257205, 0.0416384, -0.102877, 6.96644, 6.6734, 0, 0
44715, 0.423935, -0.116697, 0.0495303, 0.113949, 0.370172, 0.0272362, 0.0452831, -0.116697, 5.07871, 4.17975, 0, 0
44724, 0.405456, -0.130516, 0.0533164, 0.129258, 0.373393, 0.0290866, 0.0492592, -0.130516, 3.50788, 3.82115, 0, 0
44734, 0.389077, -0.144335, 0.05658, 0.14425, 0.373818, 0.0303887, 0.052683, -0.144335, 3.89015, 5.10086, 0, 0
44744, 0.375207, -0.158154, 0.0591527, 0.15892, 0.371753, 0.0309771, 0.055389, -0.158154, 5.39322, 6.52045, 0, 0
44754, 0.361979, -0.171974, 0.0616704, 0.173407, 0.36751, 0.031515, 0.0580397, -0.171974, 6.01977, 5.65539, 0, 0
44765, 0.349338, -0.184258, 0.0645215, 0.186097, 0.35993, 0.0326232, 0.0610218, -0.184258, 5.67038, 4.45458, 0, 0
44774, 0.337639, -0.195006, 0.0675493, 0.196992, 0.349418, 0.0341348, 0.0641695, -0.195006, 4.52092, 4.77779, 0, 0
44784, 0.326346, -0.205754, 0.0705283, 0.207781, 0.337709, 0.0355946, 0.067262, -0.205754, 4.00036, 4.83555, 0, 0
44794, 0.316495, -0.214967, 0.0734665, 0.216778, 0.323572, 0.0372354, 0.0702993, -0.214967, 4.04503, 4.40711, 0, 0
44805, 0.3083, -0.222645, 0.0762568, 0.223991, 0.307406, 0.0389454, 0.0731709, -0.222645, 4.60737, 4.50712, 0, 0
44814, 0.301379, -0.228787, 0.0790037, 0.22947, 0.289601, 0.0408339, 0.0759873, -0.228787, 5.01622, 4.39698, 0, 0
44824, 0.296406, -0.231858, 0.0818244, 0.231565, 0.269165, 0.0432421, 0.0788589, -0.231858, 4.4513, 4.0378, 0, 0
44834, 0.291895, -0.233393, 0.0848144, 0.232039, 0.248037, 0.0460478, 0.0818962, -0.233393, 3.5746, 4.1745, 0, 0
44845, 0.289446, -0.231858, 0.0877721, 0.229175, 0.225116, 0.0492614, 0.0848782, -0.231858, 3.72462, 4.3914, 0, 0
44854, 0.288491, -0.228787, 0.0904709, 0.224674, 0.202297, 0.0524308, 0.0875842, -0.228787, 4.46921, 4.43146, 0, 0
44864, 0.28838, -0.22418, 0.093121, 0.218596, 0.179827, 0.0557773, 0.0902349, -0.22418, 5.22969, 4.41286, 0, 0
