QGPIORecord, QRC v6.1.0, 22-12-2023 @ 14:33:49, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7x, ValueIn8, ValueIn9, ValueIn10, ValueIn11
10414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10554, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10653, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10663, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10693, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10743, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10783, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10833, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10864, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10894, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10913, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10934, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10984, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11034, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11043, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11074, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11083, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11094, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11343, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11374, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11553, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11603, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11654, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11694, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11784, 0.870675, 0, 0.00870675, -0.0561726, 0, 0, 0, 0, 12, 12, 0, 0
11794, 0.853052, 0, 0.00861589, -0.051583, 0.0543358, 0, 0, 0, 12, 12, 0, 0
11804, 0.82988, 0, 0.0104612, -0.0468645, 0.104232, 0.00209849, 0.00209849, 0, 8.29329, 7.81982, 0, 0
11814, 0.796753, -0.00307096, 0.0147413, -0.0385385, 0.152234, 0.00626125, 0.00673724, -0.00307096, 2.91099, 2.67542, 0, 0
11825, 0.763738, -0.00614192, 0.0194838, -0.0305637, 0.194851, 0.0108658, 0.0118178, -0.00614192, 1.44606, 1.15888, 0, 0
11834, 0.733542, -0.0122838, 0.0231655, -0.0198368, 0.235092, 0.0138899, 0.0157939, -0.0122838, 3.83691, 4.13567, 0, 0
11844, 0.710554, -0.0199612, 0.0249402, -0.00826751, 0.271631, 0.0146881, 0.0177819, -0.0199612, 8.60502, 8.56634, 0, 0
11854, 0.689685, -0.0291741, 0.0261707, 0.00450424, 0.304986, 0.0146964, 0.0192177, -0.0291741, 10.4403, 10.9585, 0, 0
11865, 0.666794, -0.038387, 0.0283598, 0.0171272, 0.333995, 0.015699, 0.0216475, -0.038387, 8.67857, 8.87176, 0, 0
11874, 0.637636, -0.0491354, 0.0323002, 0.031513, 0.360136, 0.0182868, 0.0258997, -0.0491354, 4.70239, 4.49648, 0, 0
11884, 0.6063, -0.0614192, 0.0368922, 0.0473759, 0.383039, 0.0213006, 0.0308146, -0.0614192, 3.09496, 2.31338, 0, 0
11894, 0.577996, -0.0752385, 0.0407006, 0.0643733, 0.40261, 0.0232502, 0.0349011, -0.0752385, 4.2143, 3.66078, 0, 0
11905, 0.555322, -0.0890579, 0.0433547, 0.0807227, 0.417751, 0.023987, 0.0377727, -0.0890579, 7.11636, 6.92664, 0, 0
11914, 0.535087, -0.104413, 0.0453109, 0.0982987, 0.430423, 0.0237719, 0.0399265, -0.104413, 8.49055, 8.86716, 0, 0
11924, 0.515239, -0.118232, 0.0478657, 0.113985, 0.438106, 0.0244043, 0.0426876, -0.118232, 7.61261, 7.1993, 0, 0
